id	name	latitude	longitude	streetAddress	addressLocality	addressRegion	postalCode	AddressCountry	facility	type
scarborough-justice-centre	Scarborough Justice Centre	54.28146434507936	-0.4079118236799389						Interview room,Baby changing facility,Loop Hearing,Refreshments,Disabled access,Guide dogs,Disabled toilet,Video facilities	Family court,County Court,Magistrates Court
bodmin-magistrates-court	Bodmin Magistrates' Court	50.46952713166196	-4.708864729833457						Baby changing facility,Guide dogs,Interview room,Parking,Loop Hearing,Refreshments,Video facilities	Magistrates Court
north-avon-magistrates-court	North Avon Magistrates' Court	51.53972196177897	-2.416840103613838						Baby changing facility,Guide dogs,Interview room,Loop Hearing,No parking	Magistrates Court
neath-and-port-talbot-county-court-and-family-court	Neath and Port Talbot County Court and Family Court	51.66159731566931	-3.799453026202654						Baby changing facility,Children facilities,Guide dogs,Interview room,Loop Hearing,Refreshments,Disabled access,Parking	County Court
aldershot-and-farnham-county-court-and-family-court	Aldershot and Farnham County Court and Family Court	51.2483647182953	-0.7595495580932524						Baby changing facility,Children facilities,Guide dogs,Interview room,Parking,Disabled access,Loop Hearing,Refreshments	County Court,Family court
wolverhampton-combined-court-centre	Wolverhampton Combined Court Centre	52.58436138762136	-2.122132134901778						Baby changing facility,Children facilities,Interview room,Loop Hearing,Wireless network connection,Parking,Video facilities,Refreshments,Disabled access,Guide dogs	County Court,Crown Court
liverpool-crown-court	Liverpool Crown Court	53.4041690732796	-2.989777781802356						Guide dogs,Interview room,Loop Hearing,Wireless network connection,Video facilities,Refreshments,Disabled access	Crown Court
london-probate-department	London Probate Department	51.51843600382902	-0.1145156479194628						Baby changing facility,Guide dogs,Interview room,Refreshments,Disabled access	
swindon-combined-court	Swindon Combined Court	51.56110319672413	-1.781910902285485						Loop Hearing,Refreshments,Witness care,Disabled access,Baby changing facility	Family court,Crown Court,County Court
kettering-county-court	Kettering County Court	52.39894568483992	-0.7271893139930198						Guide dogs,Interview room,Loop Hearing,Disabled access	County Court
cardiff-and-the-vale-magistrates-court	Cardiff and the Vale Magistrates Court	51.48211357777856	-3.166483351368593						Baby changing facility,Guide dogs,Loop Hearing,Parking,Video facilities,Disabled access,Interview room,Refreshments	Magistrates Court
exeter-combined-court-centre	Exeter Combined Court Centre	50.7213199688823	-3.525075093996485						Wireless network connection,Video facilities,Guide dogs,Interview room,Loop Hearing,Refreshments,Disabled access	Crown Court,County Court,Family court
